owner,project,sha,sha-p,main(sha),main(sha-p),main(diff)
MPOS,php-mpos,d5bff56f6fa135aac1a13b5cf889a6959aaee98f,c381af8291bb71a22258d8166f446da1452cb982,-15470.434587502763,-4465.96241778169,-11004.472169721073
WordPress,WordPress,7fe71ffe8131f2e5e188b740d2f37926276935ed,f62bf61b2c59bf5484888f22d0b7dff0f0df050a,-79913.42705750874,-89044.31352245474,9130.886464946001
forkcms,forkcms,629d8241091630a9bd74b6d73b4856ce0e171af9,e45964aa7ed3621df4963991d3df03bbd3d6b8ec,15126.209903861474,-495.6315460667103,15621.841449928184
splitbrain,dokuwiki,dc9bdeadf4b4eeacd7b6c7a51269a4400e4d25d8,0265c2046291f04cccff5234f3b9d47630d77192,-14696.647047641141,-8703.478490990467,-5993.168556650675
Codeception,Codeception,17fe208316d8c6659064c99215100c0d9eb934d9,2cbab2c80c05896f47a3dba953323cb976c160ed,1066.2487615817834,8168.566822646886,-7102.3180610651025
mongodb,mongo-php-driver-legacy,179d0a49ec246f312961004ff7daec8a19efed5e,52439c74d9a884593a62a8dc1d0638d83d53c42d,-371.89284381438017,-367.65107679077823,-4.241767023601938
MISP,MISP,1b7254efae1b0374ba79991fe4c8486039669e46,aa8ba55daccf1f4f9b5eab07589fd9fb3df9b895,-20033.613494464917,-45042.6018540317,25008.988359566785
owncloud,core,b56f5f27739112644420a82e5b3621c622e73917,6911d8f0a4e688f3c84f2dd117424f887820750a,15809.106692346997,37828.93713154494,-22019.83043919794
mantisbt,mantisbt,f2b9bb7ead380c5377c588cb07e6945d9f0563ba,c83fe546e9f229542c88a9aede924bd5ce4663c6,-82743.06948432914,-42687.592201649095,-40055.47728268005
frappe,erpnext,ebb5662cb70f2e2d6b4c6f7befb06fa24c12ac14,0c8597583985b17b00094fabf61d430567929746,55111.66092555554,14519.379308674515,40592.281616881024
BradLarson,GPUImage,d2b32fec48176dcb96dcc671b27c9fb38151147e,bc1c59a195167863548423459f9ac9e13d201c0a,-1946.7795570346768,-2706.7940798648,760.0145228301233
phpmyadmin,phpmyadmin,6d0c1d09f20ef46409b7885424c56a468489ec27,951fb4dd79253a3aca8b6e386db77c1affcfc3a9,-79143.56890470877,-62087.20293248471,-17056.365972224055
mattpass,ICEcoder,6f9c127c1b9fd9bf4f6b81ab9baae1bb827ecef2,f82914207dca4a4f36404ac371610421cfb52d93,-228.5695534778878,333.41318214585704,-561.9827356237448
cloudius-systems,osv,d7af14162b249a7d268881883538dca2b60e5959,8ffe45bf0e00b4b95140ea9aa6035d71f90a86ee,-88559.85046462357,-87738.70694812486,-821.1435164987051
WordPress,WordPress,99a0a9806167ae5df53e265a957cfed1af3f98ea,02424959e4dbbbf3c989c6d36f5807b6bb3ad7d8,-67185.64179093762,-146637.00322374946,79451.36143281184
php,php-src,114d662d12aa9672cfd567a6db3624c25d5f4394,bb4d11b405ae1f37a8b0e4db630e80c5678f0746,-3811041.553577174,-13151.927921116014,-3797889.625656058
Codiad,Codiad,485908c7119467d6d40200dbffd5dfb373637b9e,c42d24cb48a83c19afa8a8ed770ebbad73fa7059,3479.6550005772897,4532.505647187305,-1052.8506466100152
dlitz,pycrypto,f68372ad3742a270611639aff3cda78502897b86,7fd528d03b5eae58eef6fd219af5d9ac9c83fa50,1450.6269854100512,5072.8380240710085,-3622.2110386609575
openssl,openssl,48c1e15ceb2252e65ba63f93a7bf39c1d368f38f,7388b43cae035484036f5dc46c231ce6282a1367,-108855.05106554933,-1340202.9523508872,1231347.901285338
nextcloud,server,99934134dc53baaee56740de669c7df549317a2f,d134ba9a82a904ba317d4a6d9a75e46ab9249ddc,-454942.43029776105,5700.474067683747,-460642.9043654448
nextcloud,server,cb4367b6d5af62c8b2c8c384396b3dc29bff2eab,cdf01feba78696aa74b7f57a43380757d67df4aa,25871.788367838984,-52387.56826783835,78259.35663567734
owncloud,core,dc004e4a6bcafe61fec6b84004c4435874d5214b,564b0358f91df832afdf3a0fd27eaa349508c964,52208.36298517105,-12260.116484222679,64468.47946939373
php,php-src,69dcdcb7c19f61f78a9d973a1ec999665c941a6f,5d90aa1299da1ac81faf065c4aa0dc4196276cc1,-1819498.3320791316,-13079.313962436816,-1806419.0181166949
WordPress,WordPress,83d97232267ad2c71b19f5c4d999a7976609dfd6,ad646bc1838454b0859f196c13a41d8815b9a15e,-11819.791459906088,-86692.53478786898,74872.74332796289
openssl,openssl,756b198d247d0040b7e2abed9b9b12bc6634a3ad,3444c36ab489b7084832254723a356e3c2eb023a,-110633.78007952849,-1701057.7670213524,1590423.986941824
openssl,openssl,848a950b715fa73070a9d1638e7630acfb0dfa4d,8106d61c354430d6bbbd7f8e7840a39efc0f5829,-125036.11691081159,-1808638.8825244564,1683602.7656136448
josh,rails,fab2fd6398292e6ff16cc234021673e9852a150a,b0555bb88b090ca981fcc7661b6f9ea333e7f42e,5591.745634280576,13970.214731575688,-8378.469097295112
php,php-src,4facdb420ba3142bf12b5eecb630458e5c8db4c5,dad793630d5966a9c22f3fcd7f24b7937bd1a36f,-3771761.6476870184,-4801703.69795677,1029942.0502697513
php,php-src,5f136b5e048a851c386d7383b3c1942a83748883,8a4d164c2b33e7a89af13762dbc09941df14a035,-4041572.6524114544,-4632813.259554948,591240.6071434934
josh,rails,6a8b9484a7398f3b500cd1f056cbe46fd7d6301c,7cfa6c535bc54f16a3fc7fa39969d4410de3e483,5860.75267101806,8142.218573139002,-2281.465902120942
splitbrain,dokuwiki,8e790062800da9ede63ca6d3906c6c178beba5aa,041d1964bde2693df05726690877835ddae4e83e,-14109.169269890555,-4634.232832478369,-9474.936437412187
openssl,openssl,4edfacb983318fc7f0d807c26b317717c0c53ee5,13747c6fdabbba33cb187a133548b73d41ae282d,-108837.2149508166,-1297621.5993334146,1188784.3843825979
nextcloud,server,e4311a2ebdf3eeda8b2f1022c19290dc68db8ae5,1f96fb3352ad43155586d6deae95bf889768ba05,12381.639668551863,30747.765782342216,-18366.126113790353
nextcloud,server,1dfd7de10e3311e9a8050d2fa52d83f028879f7e,98d0d48b54764162cfa9315e3c1f42915801d16f,-186626.937186865,17157.619689612184,-203784.55687647717
josh,rails,10c50c6b55ef75a9682201eadd8955abbbcb27d9,8a39f411dc3c806422785b1f4d5c7c9d58e4bf85,14790.578481204091,13967.578503629462,822.9999775746292
P0cL4bs,WiFi-Pumpkin,7af636e1d5b9632dc8d91e4a31d764d593c2b3c8,acbc25f48028539c4d239647101a314a7b5f6c11,1118.1492589645538,-848.4657558120475,1966.6150147766014
cakephp,cakephp,f57ebd3ac8e9d6121fbe8c0fc6e6f33b1aa62505,23f559a4b079911bdf65ec922368ce81ec1461cc,21407.27915474982,-3128.9767508450414,24536.255905594862
curl,curl,64db60397b9d71a7b0ba381ee80007681b409866,dc2ea33e32ba9aeecdcd33c0541a9e33a85774ba,-32508.6838158941,-29073.221478427786,-3435.4623374663133
josh,rails,b33555d3ef26dbe07472c9e1d23f3a6e49a35059,f706d5f945c5751072bb90d080aff154e6858435,17349.823223832536,17434.108761016523,-84.28553718398689
nicolaslopezj,searchable,44a76d1b547429711c6719f888cccade3b41c6ac,0f3cd1eeb405a6fe8f5cb376c34ffc3cded999e1,42.72473996615143,29.015840380242572,13.70889958590886
MISP,MISP,158f4124e0df54d3f6d29f7bd2a0ee720b33c83b,8505396b2519031f6c413586ccb14ab81bf69a38,-8893.109992390708,-44487.100957141876,35593.99096475117
scalikejdbc,scalikejdbc,05a92932f1b39c71127253d6719030eed9ef4496,db240ce42a1e6041d9459ed9c3c1f42d6570d54b,320.77411180784156,863.8871078863289,-543.1129960784873
WordPress,WordPress,e879a9ab0e9fbc21ce5f82e1ba82c101ef379e95,031370065763ebd5f78f88c559de3c63dcbf9257,-64438.35769397256,-12116.344943259974,-52322.01275071259
mantisbt,mantisbt,9d10ee297d10959ce8cfe6f0200aea8cf01b8358,e4902b6589ee0147844d1b2288da0ab271d34b71,-46919.130106740144,-79276.10565721596,32356.975550475814
Pylons,pyramid,a62cc2264c2dda6a0588fddbc5712afea9d89837,a6db36c984bd69f8a6aba80ad6db435cd4b1b93c,-1893.8968728865702,-834.3136257304329,-1059.5832471561373
openssl,openssl,7bbb8c5620c7a932988473533e2aca385e4b89c5,bbcf3a9b300bc8109bb306a53f6f3445ba02e8e9,-1521801.0104667388,-1059642.732616467,-462158.2778502719
joomla,joomla-cms,4bbbf5af6d6923bada5c947b2529b9ba9fd0567a,42b79e27cf7dd6d818d13f5f8401c858854d9a63,-1134826.057703411,-26865.855892412157,-1107960.2018109988
MISP,MISP,98bf40eb7167055e8aa17e609dc536ed3242f308,6e842da5bca360649658817a2dd22c4fc09f91b7,-19067.707421126586,-44332.645351612315,25264.93793048573
joomla,joomla-cms,4b0207e106ad1d4535a6cee1cd7c6f961580b4cf,9169d5f0e1b4ddf887c1e30547b91c64cdcf05a9,-1425664.23814667,-419093.76449607447,-1006570.4736505954
openssl,openssl,380f18ed5f140e0ae1b68f3ab8f4f7c395658d9e,a91be10833e61bcdc9002de28489405101c52650,-1750266.0164045505,-1852816.66995725,102550.65355269937
Codiad,Codiad,763114ac0eaeac1339c31a3355f93591d69042c7,7b01d10681845cdf36e9b7641f91debe75c44eb2,-31501.389489943933,4315.190577347511,-35816.58006729144
